address,area,area_m2,baths,beds,city,external_id,image,price,property_type,rooms,source,status,title,url
Djerba - Houmt Souk 4156 Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,154,,2600,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/154
Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,155,,1800,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/155
La Marsa Tunis Tunisie,,,,,La Marsa,77,,3200,2,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/77
Mer Meditérranée Raoued Raoued Ariana Tunisie,,,,,Raoued,24,,350000,2,,remax,,Raoued Ariana Tunisie,https://www.remax.com.tn/listings/24
El Omrane El Omrane Tunis Tunisie,,,,,El Omrane,42,,1200000,2,,remax,,El Omrane Tunis Tunisie,https://www.remax.com.tn/listings/42
RAFRAF RAFRAF Ras Jebel Bizerte Tunisie,,,,,Ras Jebel,73,,1400000,2,,remax,,Ras Jebel Bizerte Tunisie,https://www.remax.com.tn/listings/73
Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,3,,590000,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/3
Gammarth Tunis Tunisie,Gammarth Kaak,,,,Gammarth,4,,6000,2,,remax,,Gammarth Tunis Tunisie,https://www.remax.com.tn/listings/4
Zone Industrielle du Kram (lac ind) Tunis Tunisie,,,,,Zone Industrielle du Kram (lac ind),73,,19500,1,,remax,,Zone Industrielle du Kram (lac ind) Tunis Tunisie,https://www.remax.com.tn/listings/73
Gammarth Tunis Tunisie,Gammarth Supérieur,,,,Gammarth,2,,4200,2,,remax,,Gammarth Tunis Tunisie,https://www.remax.com.tn/listings/2
La Marsa Tunis Tunisie,,,,,La Marsa,1,,2700,2,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/1
Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,102,,750000,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/102
Djerba - Houmt Souk Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,6,,340000,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/6
Djerba - Houmt Souk Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,5,,87500,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/5
Djerba - Houmt Souk Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,4,,570000,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/4
Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,2,,570000,1,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/2
Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,3,,130000,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/3
Jardins de Carthage Tunis Tunisie,,,,,Jardins de Carthage,152,,700000,2,,remax,,Jardins de Carthage Tunis Tunisie,https://www.remax.com.tn/listings/152
Carthage Byrsa Tunis Tunisie,,,,,Carthage Byrsa,3,,1700000,2,,remax,,Carthage Byrsa Tunis Tunisie,https://www.remax.com.tn/listings/3
El Menzah 6 Ariana Tunisie,,,,,El Menzah 6,146,,1550000,2,,remax,,El Menzah 6 Ariana Tunisie,https://www.remax.com.tn/listings/146
Les berges du lac 1 Tunis Tunisie,,,,,Les berges du lac 1,92,,867350,2,,remax,,Les berges du lac 1 Tunis Tunisie,https://www.remax.com.tn/listings/92
Kerkouane Kélibia Nabeul Tunisie,,,,,Kélibia,187,,520000,2,,remax,,Kélibia Nabeul Tunisie,https://www.remax.com.tn/listings/187
Montplaisir Tunis Tunisie,,,,,Montplaisir,284,,11000,1,,remax,,Montplaisir Tunis Tunisie,https://www.remax.com.tn/listings/284
Carthage Byrsa Carthage Byrsa Tunis Tunisie,,,,,Carthage Byrsa,156,,1600000,2,,remax,,Carthage Byrsa Tunis Tunisie,https://www.remax.com.tn/listings/156
Les Jardins du lac 2 Tunis Tunisie,,,,,Les Jardins du lac 2,208,,16000,2,,remax,,Les Jardins du lac 2 Tunis Tunisie,https://www.remax.com.tn/listings/208
La Marsa La Marsa Tunis Tunisie,,,,,La Marsa,225,,2000,2,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/225
La Soukra Ariana Tunisie,,,,,La Soukra,8,,463000,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/8
La Soukra Ariana Tunisie,,,,,La Soukra,7,,474000,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/7
Jardins de Carthage Tunis Tunisie,,,,,Jardins de Carthage,21,,2150,2,,remax,,Jardins de Carthage Tunis Tunisie,https://www.remax.com.tn/listings/21
Chott mariem Sousse Tunisie,,,,,Chott mariem,2,,1000,2,,remax,,Chott mariem Sousse Tunisie,https://www.remax.com.tn/listings/2
